source_city,destination_city,lat_src,lon_src,lat_dst,lon_dst
Mumbai,Pune,19.0760,72.8777,18.5204,73.8567
Pune,Bangalore,18.5204,73.8567,12.9716,77.5946
Bangalore,Chennai,12.9716,77.5946,13.0827,80.2707
Chennai,Hyderabad,13.0827,80.2707,17.3850,78.4867
Hyderabad,Mumbai,17.3850,78.4867,19.0760,72.8777
Delhi,Jaipur,28.7041,77.1025,26.9124,75.7873
Jaipur,Ahmedabad,26.9124,75.7873,23.0225,72.5714
Ahmedabad,Mumbai,23.0225,72.5714,19.0760,72.8777
Delhi,Chandigarh,28.7041,77.1025,30.7333,76.7794
Chandigarh,Amritsar,30.7333,76.7794,31.6340,74.8723
Amritsar,Jammu,31.6340,74.8723,32.7266,74.8570
Delhi,Agra,28.7041,77.1025,27.1767,78.0081
Agra,Kanpur,27.1767,78.0081,26.4499,80.3319
Kanpur,Lucknow,26.4499,80.3319,26.8467,80.9462
Lucknow,Varanasi,26.8467,80.9462,25.3176,82.9739
Varanasi,Patna,25.3176,82.9739,25.5941,85.1376
Patna,Ranchi,25.5941,85.1376,23.3441,85.3096
Ranchi,Kolkata,23.3441,85.3096,22.5726,88.3639
Kolkata,Bhubaneswar,22.5726,88.3639,20.2961,85.8245
Bhubaneswar,Visakhapatnam,20.2961,85.8245,17.6868,83.2185
Visakhapatnam,Chennai,17.6868,83.2185,13.0827,80.2707
Mumbai,Surat,19.0760,72.8777,21.1702,72.8311
Surat,Baroda,21.1702,72.8311,22.3072,73.1812
Baroda,Indore,22.3072,73.1812,22.7196,75.8577
Indore,Bhopal,22.7196,75.8577,23.2599,77.4126
Bhopal,Nagpur,23.2599,77.4126,21.1458,79.0882
Nagpur,Hyderabad,21.1458,79.0882,17.3850,78.4867
Hyderabad,Vijayawada,17.3850,78.4867,16.5062,80.6480
Vijayawada,Bangalore,16.5062,80.6480,12.9716,77.5946
Bangalore,Mysore,12.9716,77.5946,12.2958,76.6394
Mysore,Coimbatore,12.2958,76.6394,11.0168,76.9558
Coimbatore,Salem,11.0168,76.9558,11.6643,78.1460
Salem,Trichy,11.6643,78.1460,10.7905,78.7047
Trichy,Madurai,10.7905,78.7047,9.9252,78.1198
Madurai,Tirunelveli,9.9252,78.1198,8.7139,77.7567
Tirunelveli,Kanyakumari,8.7139,77.7567,8.0883,77.5385
Delhi,Meerut,28.7041,77.1025,28.9845,77.7064
Meerut,Dehradun,28.9845,77.7064,30.3165,78.0322
Dehradun,Shimla,30.3165,78.0322,31.1048,77.1734
Shimla,Manali,31.1048,77.1734,32.2432,77.1892
Manali,Leh,32.2432,77.1892,34.1526,77.5771
Kolkata,Siliguri,22.5726,88.3639,26.7271,88.3953
Siliguri,Guwahati,26.7271,88.3953,26.1445,91.7362
Guwahati,Shillong,26.1445,91.7362,25.5788,91.8933
Shillong,Imphal,25.5788,91.8933,24.8170,93.9368
Imphal,Aizawl,24.8170,93.9368,23.7271,92.7176
Aizawl,Agartala,23.7271,92.7176,23.8315,91.2868
